Subzone,Planning Area,population
ADMIRALTY,Sembawang,13480
AIRPORT ROAD,Paya Lebar,-
ALEXANDRA HILL,Bukit Merah,13150
ALEXANDRA NORTH,Bukit Merah,2780
ALJUNIED,Geylang,39620
ANAK BUKIT,Bukit Timah,21220
ANCHORVALE,Sengkang,50050
ANG MO KIO TOWN CENTRE,Ang Mo Kio,4760
ANSON,Downtown Core,80
BAHAR,Western Water Catchment,-
BALESTIER,Novena,32020
BANGKIT,Bukit Panjang,21680
BAYFRONT SUBZONE,Downtown Core,-
BAYSHORE,Bedok,7340
BEDOK NORTH,Bedok,81010
BEDOK RESERVOIR,Bedok,24940
BEDOK SOUTH,Bedok,45860
BENCOOLEN,Rochor,1240
BENDEMEER,Kallang,36950
BENOI SECTOR,Pioneer,-
BIDADARI,Toa Payoh,-
BISHAN EAST,Bishan,27300
BOAT QUAY,Singapore River,130
BOON KENG,Kallang,11310
BOON LAY PLACE,Jurong West,28350
BOON TECK,Toa Payoh,14890
BOULEVARD,Orchard,340
BRADDELL,Toa Payoh,9610
BRAS BASAH,Museum,10
BRICKLAND,Tengah,-
BRICKWORKS,Bukit Batok,25180
BUGIS,Downtown Core,880
BUKIT BATOK CENTRAL,Bukit Batok,26900
BUKIT BATOK EAST,Bukit Batok,12300
BUKIT BATOK SOUTH,Bukit Batok,14580
BUKIT BATOK WEST,Bukit Batok,14550
BUKIT HO SWEE,Bukit Merah,14000
BUKIT MERAH,Bukit Merah,1060
CAIRNHILL,Newton,3800
CECIL,Downtown Core,320
CENTRAL SUBZONE,Downtown Core,980
CENTRAL WATER CATCHMENT,Central Water Catchment,-
CHANGI AIRPORT,Changi,-
CHANGI BAY,Changi Bay,-
CHANGI POINT,Changi,560
CHANGI WEST,Changi,1330
CHATSWORTH,Tanglin,6830
CHENG SAN,Ang Mo Kio,27260
CHIN BEE,Jurong West,-
CHINA SQUARE,Outram,1340
CHINATOWN,Outram,10090
CHOA CHU KANG CENTRAL,Choa Chu Kang,22200
CHOA CHU KANG NORTH,Choa Chu Kang,31260
CHONG BOON,Ang Mo Kio,25800
CITY HALL,Downtown Core,90
CITY TERMINALS,Bukit Merah,20
CLARKE QUAY,Singapore River,100
CLEANTECH,Western Water Catchment,-
CLEMENTI CENTRAL,Clementi,14390
CLEMENTI NORTH,Clementi,27870
CLEMENTI WEST,Clementi,14770
CLEMENTI WOODS,Clementi,15770
CLIFFORD PIER,Downtown Core,-
COMMONWEALTH,Queenstown,6660
COMPASSVALE,Sengkang,20750
CONEY ISLAND,Punggol,-
CORONATION ROAD,Bukit Timah,6400
CRAWFORD,Kallang,8050
DAIRY FARM,Bukit Panjang,6810
DEFU INDUSTRIAL PARK,Hougang,10
DEPOT ROAD,Bukit Merah,6400
DHOBY GHAUT,Museum,350
DOVER,Queenstown,10690
DUNEARN,Novena,3790
EAST COAST,Marine Parade,-
EVERTON PARK,Bukit Merah,7520
FABER,Clementi,5320
FAJAR,Bukit Panjang,27020
FARRER COURT,Bukit Timah,6140
FARRER PARK,Rochor,2500
FERNVALE,Sengkang,58390
FLORA DRIVE,Pasir Ris,14840
FOREST HILL,Tengah,10
FORT CANNING,Museum,170
FRANKEL,Bedok,33590
GALI BATU,Sungei Kadut,20
GARDEN,Tengah,-
GEYLANG BAHRU,Kallang,10750
GEYLANG EAST,Geylang,29350
GHIM MOH,Queenstown,13370
GOMBAK,Bukit Batok,9770
GOODWOOD PARK,Newton,1250
GREENWOOD PARK,Woodlands,80
GUILIN,Bukit Batok,12450
GUL BASIN,Pioneer,-
GUL CIRCLE,Pioneer,20
HENDERSON HILL,Bukit Merah,12970
HILLCREST,Bukit Timah,9220
HILLVIEW,Bukit Batok,18870
HOLLAND DRIVE,Queenstown,12080
HOLLAND ROAD,Bukit Timah,10750
HONG KAH,Jurong West,52420
HONG KAH NORTH,Bukit Batok,25550
HOUGANG CENTRAL,Hougang,4590
HOUGANG EAST,Hougang,24270
HOUGANG WEST,Hougang,44900
INSTITUTION HILL,River Valley,3130
INTERNATIONAL BUSINESS PARK,Jurong East,-
ISTANA NEGARA,Newton,50
JELEBU,Bukit Panjang,30480
JOO KOON,Pioneer,20
JOO SENG,Toa Payoh,7990
JURONG GATEWAY,Jurong East,500
JURONG ISLAND AND BUKOM,Western Islands,-
JURONG PORT,Jurong East,-
JURONG RIVER,Jurong East,-
JURONG WEST CENTRAL,Jurong West,61720
KAKI BUKIT,Bedok,36240
KALLANG BAHRU,Kallang,10
KALLANG WAY,Geylang,30
KAMPONG BUGIS,Kallang,930
KAMPONG GLAM,Rochor,110
KAMPONG JAVA,Kallang,10050
KAMPONG TIONG BAHRU,Bukit Merah,8700
KAMPONG UBI,Geylang,11290
KANGKAR,Hougang,32260
KATONG,Marine Parade,9090
KEAT HONG,Choa Chu Kang,38240
KEBUN BAHRU,Ang Mo Kio,21950
KEMBANGAN,Bedok,36350
KENT RIDGE,Queenstown,60
KHATIB,Yishun,9950
KIAN TECK,Jurong West,30
KIM KEAT,Toa Payoh,7610
KOVAN,Hougang,24370
KRANJI,Sungei Kadut,10
LAKESIDE (BUSINESS),Jurong East,-
LAKESIDE (LEISURE),Jurong East,970
LAVENDER,Kallang,9460
LEEDON PARK,Bukit Timah,6270
LEONIE HILL,River Valley,3180
LIM CHU KANG,Lim Chu Kang,100
LITTLE INDIA,Rochor,3120
LIU FANG,Boon Lay,-
LORONG 8 TOA PAYOH,Toa Payoh,6900
LORONG AH SOO,Hougang,31720
LORONG CHUAN,Serangoon,8410
LORONG HALUS,Hougang,-
LORONG HALUS NORTH,Sengkang,-
LOWER SELETAR,Yishun,18900
LOYANG EAST,Pasir Ris,2080
LOYANG WEST,Pasir Ris,220
MACKENZIE,Rochor,140
MACPHERSON,Geylang,27310
MALCOLM,Novena,2910
MANDAI EAST,Mandai,-
MANDAI ESTATE,Mandai,2070
MANDAI WEST,Mandai,-
MARGARET DRIVE,Queenstown,17390
MARINA CENTRE,Downtown Core,10
MARINA EAST,Marina East,-
MARINA EAST (MP),Marine Parade,-
MARINA SOUTH,Marina South,-
MARINE PARADE,Marine Parade,26050
MARITIME SQUARE,Bukit Merah,3840
MARYMOUNT,Bishan,28800
MATILDA,Punggol,51960
MAXWELL,Downtown Core,-
MEI CHIN,Queenstown,15010
MIDVIEW,Woodlands,34360
MONK'S HILL,Newton,1060
MOULMEIN,Novena,9380
MOUNT EMILY,Rochor,1690
MOUNT PLEASANT,Novena,700
MOUNTBATTEN,Marine Parade,9540
MURAI,Western Water Catchment,610
NASSIM,Tanglin,9350
NATIONAL UNIVERSITY OF S'PORE,Queenstown,220
NATURE RESERVE,Bukit Panjang,3790
NEE SOON,Yishun,850
NEWTON CIRCUS,Newton,240
NICOLL,Downtown Core,290
NORTH COAST,Woodlands,11460
NORTH-EASTERN ISLANDS,North-Eastern Islands,40
NORTHLAND,Yishun,27410
NORTHSHORE,Punggol,4160
ONE NORTH,Queenstown,750
ONE TREE HILL,River Valley,2000
ORANGE GROVE,Newton,1700
OXLEY,River Valley,1490
PANDAN,Clementi,10
PANG SUA,Sungei Kadut,10
PARK,Tengah,-
PASIR PANJANG 1,Queenstown,4530
PASIR PANJANG 2,Queenstown,2910
PASIR RIS CENTRAL,Pasir Ris,31860
PASIR RIS DRIVE,Pasir Ris,52920
PASIR RIS PARK,Pasir Ris,7710
PASIR RIS WAFER FAB PARK,Pasir Ris,10
PASIR RIS WEST,Pasir Ris,34970
PATERSON,River Valley,240
PAYA LEBAR EAST,Paya Lebar,-
PAYA LEBAR NORTH,Paya Lebar,20
PAYA LEBAR WEST,Paya Lebar,-
PEARL'S HILL,Outram,5770
PEI CHUN,Toa Payoh,10050
PENG SIANG,Choa Chu Kang,34030
PENJURU CRESCENT,Jurong East,10
PEOPLE'S PARK,Outram,270
PHILLIP,Downtown Core,-
PIONEER SECTOR,Pioneer,10
PLAB,Paya Lebar,-
PLANTATION,Tengah,-
PORT,Queenstown,110
POTONG PASIR,Toa Payoh,11650
PULAU PUNGGOL BARAT,Seletar,-
PULAU PUNGGOL TIMOR,Seletar,-
PULAU SELETAR,Simpang,-
PUNGGOL CANAL,Punggol,-
PUNGGOL FIELD,Punggol,48010
PUNGGOL TOWN CENTRE,Punggol,22310
QUEENSWAY,Queenstown,260
RAFFLES PLACE,Downtown Core,20
REDHILL,Bukit Merah,10800
RESERVOIR VIEW,Sungei Kadut,10
RIDOUT,Tanglin,1460
RIVERVALE,Sengkang,58540
ROBERTSON QUAY,Singapore River,3170
ROCHOR CANAL,Rochor,-
SAFTI,Jurong West,-
SAMULUN,Boon Lay,10
SAUJANA,Bukit Panjang,25300
SELEGIE,Rochor,210
SELETAR,Seletar,290
SELETAR AEROSPACE PARK,Seletar,20
SELETAR HILLS,Serangoon,14730
SEMAKAU,Western Islands,-
SEMBAWANG CENTRAL,Sembawang,34630
SEMBAWANG EAST,Sembawang,19940
SEMBAWANG HILLS,Ang Mo Kio,6640
SEMBAWANG NORTH,Sembawang,25160
SEMBAWANG SPRINGS,Sembawang,9330
SEMBAWANG STRAITS,Sembawang,2170
SENGKANG TOWN CENTRE,Sengkang,60900
SENGKANG WEST,Sengkang,-
SENJA,Bukit Panjang,19640
SENNETT,Toa Payoh,10220
SENOKO NORTH,Sembawang,10
SENOKO SOUTH,Sembawang,20
SENOKO WEST,Woodlands,10
SENTOSA,Southern Islands,1980
SERANGOON CENTRAL,Serangoon,24050
SERANGOON GARDEN,Serangoon,34910
SERANGOON NORTH,Serangoon,15490
SERANGOON NORTH IND ESTATE,Serangoon,-
SHANGRI-LA,Ang Mo Kio,16800
SHIPYARD,Boon Lay,-
SIGLAP,Bedok,6480
SIMEI,Tampines,38330
SIMPANG NORTH,Simpang,-
SIMPANG SOUTH,Simpang,-
SINGAPORE GENERAL HOSPITAL,Bukit Merah,10
SINGAPORE POLYTECHNIC,Queenstown,80
SOMERSET,Orchard,130
SOUTHERN GROUP,Southern Islands,-
SPRINGLEAF,Yishun,4350
STRAITS VIEW,Straits View,-
SUDONG,Western Islands,-
SUNGEI ROAD,Rochor,2020
SUNSET WAY,Clementi,5360
SWISS CLUB,Bukit Timah,5160
TAGORE,Ang Mo Kio,7740
TAI SENG,Hougang,13450
TAMAN JURONG,Jurong West,38990
TAMPINES EAST,Tampines,127510
TAMPINES NORTH,Tampines,10720
TAMPINES WEST,Tampines,79810
TANGLIN,Orchard,380
TANGLIN HALT,Queenstown,9500
TANJONG IRAU,Simpang,-
TANJONG PAGAR,Downtown Core,670
TANJONG RHU,Kallang,10790
TEBAN GARDENS,Jurong East,17790
TECK WHYE,Choa Chu Kang,23940
TELOK BLANGAH DRIVE,Bukit Merah,19040
TELOK BLANGAH RISE,Bukit Merah,11810
TELOK BLANGAH WAY,Bukit Merah,8820
TENGAH INDUSTRIAL ESTATE,Tengah,-
TENGEH,Tuas,-
THE WHARVES,Sembawang,-
TIONG BAHRU,Bukit Merah,12430
TIONG BAHRU STATION,Bukit Merah,14780
TOA PAYOH CENTRAL,Toa Payoh,27200
TOA PAYOH WEST,Toa Payoh,13950
TOH GUAN,Jurong East,14090
TOH TUCK,Clementi,10
TOWNSVILLE,Ang Mo Kio,20370
TRAFALGAR,Hougang,49220
TUAS BAY,Tuas,10
TUAS NORTH,Tuas,10
TUAS PROMENADE,Tuas,10
TUAS VIEW,Tuas,10
TUAS VIEW EXTENSION,Tuas,10
TUKANG,Boon Lay,-
TURF CLUB,Sungei Kadut,670
TYERSALL,Tanglin,3770
ULU PANDAN,Bukit Timah,10700
UPPER PAYA LEBAR,Serangoon,17520
UPPER THOMSON,Bishan,28520
VICTORIA,Rochor,1650
WATERWAY EAST,Punggol,49740
WENYA,Jurong West,8040
WEST COAST,Clementi,7470
WOODGROVE,Woodlands,32700
WOODLANDS EAST,Woodlands,96700
WOODLANDS REGIONAL CENTRE,Woodlands,-
WOODLANDS SOUTH,Woodlands,40140
WOODLANDS WEST,Woodlands,33480
WOODLEIGH,Toa Payoh,2480
XILIN,Tampines,1720
YEW TEE,Choa Chu Kang,39400
YIO CHU KANG,Ang Mo Kio,10
YIO CHU KANG EAST,Ang Mo Kio,4180
YIO CHU KANG NORTH,Ang Mo Kio,-
YIO CHU KANG WEST,Ang Mo Kio,23660
YISHUN CENTRAL,Yishun,2780
YISHUN EAST,Yishun,60900
YISHUN SOUTH,Yishun,41580
YISHUN WEST,Yishun,52470
YUHUA EAST,Jurong East,23960
YUHUA WEST,Jurong East,18570
YUNNAN,Jurong West,65570
